hotel,url,image_url,price,address,location,note,score,avg review,reviews count,property
2BR Apartment,https://www.booking.com/hotel/vn/2br-apartment.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1308001101_403618597_1_0_0&highlighted_blocks=1308001101_403618597_1_0_0&matching_block_id=1308001101_403618597_1_0_0&sr_pri_blocks=1308001101_403618597_1_0_0__691200000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/612973695.webp?k=3b1c054b409f473f6ffbd716542f1fc694dcebcc30cdc8417a0693cca2dde989&o=,VND 6.912.000,"Quận Hai Bà Trưng, Hà Nội",Cách trung tâm 3km,None,No info,No info,No info,1 giường đôi
Era Apartment Đông Các,https://www.booking.com/hotel/vn/era-house-apartment.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=921578102_363828712_1_0_0&highlighted_blocks=921578102_363828712_1_0_0&matching_block_id=921578102_363828712_1_0_0&sr_pri_blocks=921578102_363828712_1_0_0__39370000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/584005011.webp?k=13726518e32c6953ca7ef19ce4ba3974f2d6c722d474511ea6498a4890636f2b&o=,VND 393.700,"Quận Đống Đa, Hà Nội","Cách trung tâm 2,7km",None,"Đạt điểm 8,0
8,0",Rất tốt,106,1 giường đôi lớn
Căn hộ cao cấp 2BR Hai ba Trưng Hà Nội,https://www.booking.com/hotel/vn/can-ho-cao-cap-2br-hai-ba-trung-ha-noi-ha-noi.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1308578801_403669676_1_0_0&highlighted_blocks=1308578801_403669676_1_0_0&matching_block_id=1308578801_403669676_1_0_0&sr_pri_blocks=1308578801_403669676_1_0_0__864000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/613299229.webp?k=9bee427f0193a9f740343bb6617c668dc7137b82d713f04b733fefe97239477d&o=,VND 8.640.000,"Quận Hai Bà Trưng, Hà Nội","Cách trung tâm 3,8km",None,No info,No info,No info,2 giường đôi lớn
Drift Backpackers Hostel,https://www.booking.com/hotel/vn/drift-backpackers-hostel.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=921089214_363767916_1_1_0_94658&highlighted_blocks=921089214_363767916_1_1_0_94658&matching_block_id=921089214_363767916_1_1_0_94658&sr_pri_blocks=921089214_363767916_1_1_0_94658_31500000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/417404085.webp?k=f4f74449c9f709bf51ebcb878bea5a306c155964b4bdc9a8022b3ad3efc5b533&o=,VND 315.000,"Quận Hoàn Kiếm, Hà Nội",Cách trung tâm 400m,None,"Đạt điểm 8,4
8,4",Rất tốt,1.123,1 giường đơn
Paradise Home Ton Duc Thang,https://www.booking.com/hotel/vn/paradise-home-ton-duc-thang.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=967123505_369173667_2_0_0&highlighted_blocks=967123505_369173667_2_0_0&matching_block_id=967123505_369173667_2_0_0&sr_pri_blocks=967123505_369173667_2_0_0__46800000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/606747636.webp?k=033302144be62301bdff895accc2b517eb787ef40264204b362236aebe11ec75&o=,VND 468.000,"Quận Đống Đa, Hà Nội","Cách trung tâm 2,4km",None,"Đạt điểm 7,8
7,8",Tốt,55,1 giường đôi lớn
Hanoi Oldtown Boutique Hotel,https://www.booking.com/hotel/vn/hanoi-old-darling-amp-spa.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1281724501_403308324_2_0_0&highlighted_blocks=1281724501_403308324_2_0_0&matching_block_id=1281724501_403308324_2_0_0&sr_pri_blocks=1281724501_403308324_2_0_0__76500000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/597750260.webp?k=39a9529326c3f1ba47b7630f514bc5c5e4c3e05eed57b6a6656be17f2db3a16c&o=,VND 765.000,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 0,8km",None,"Đạt điểm 9,7
9,7",Xuất sắc,40,1 giường đôi
The Autumn Homestel,https://www.booking.com/hotel/vn/the-autumn-homestel.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=647285908_265619614_2_42_0&highlighted_blocks=647285908_265619614_2_42_0&matching_block_id=647285908_265619614_2_42_0&sr_pri_blocks=647285908_265619614_2_42_0__35568000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/255903170.webp?k=6526a28adef7513d8ea97e12e7677e879f65a84a18a36024f35ad8dd4402b655&o=,VND 355.680,"Quận Ba Đình, Hà Nội","Cách trung tâm 2,7km",None,"Đạt điểm 8,0
8,0",Rất tốt,284,1 giường đôi lớn
Discovery Hotel,https://www.booking.com/hotel/vn/discovery-i.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=309117801_242165054_1_0_0&highlighted_blocks=309117801_242165054_1_0_0&matching_block_id=309117801_242165054_1_0_0&sr_pri_blocks=309117801_242165054_1_0_0__36900000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/260847072.webp?k=5a5ff7a1eabe75ed058021c1646c95aad7dd93da9db125418ca980e2536669e8&o=,VND 369.000,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 0,8km",None,"Đạt điểm 7,7
7,7",Tốt,108,1 giường đơn
Da Tree Homestay,https://www.booking.com/hotel/vn/da-tree-homestay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1087481601_381704551_1_0_0&highlighted_blocks=1087481601_381704551_1_0_0&matching_block_id=1087481601_381704551_1_0_0&sr_pri_blocks=1087481601_381704551_1_0_0__33060000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/502372192.webp?k=778e7527331d9fcb263cfc9b055400cf65bc48176edbdd637c876dee7ee2bc15&o=,VND 330.600,"Quận Ba Đình, Hà Nội","Cách trung tâm 2,7km",None,"Đạt điểm 8,7
8,7",Tuyệt vời,152,1 giường đôi lớn
Hidden gem homestay 2,https://www.booking.com/hotel/vn/hiddengem-homestay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1068771803_395836030_1_0_0&highlighted_blocks=1068771803_395836030_1_0_0&matching_block_id=1068771803_395836030_1_0_0&sr_pri_blocks=1068771803_395836030_1_0_0__30400000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/613655864.webp?k=7b86d372ce9bb842a3e89f619635793f8bc4fd41d6844c25b4372c3bb3341701&o=,VND 304.000,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 0,7km",None,"Đạt điểm 7,9
7,9",Tốt,57,1 giường đôi
